unit,name,kind,risk_or_virtue_consistency,risk_or_virtue_consistency_score,risk_virtue_predominance,risk_virtue_generality,risk_virtue_company_consistency,companies,distinct_documents
item,Abuse,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Abuse and Misuse,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Abuse Monitoring,risk,Inconsistent,0.3904,0.1213,0.2,0.85,1,4
item,Abuse Potential,risk,Inconsistent,0.2985,0.1838,0.2852,0.4264,2,4
item,Abuse Prevention,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Abusive Form Filling,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Abusive Users,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Academic Safety Benchmarks,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Access to Harmful Goods and Services,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Accessibility,virtue,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Accidental Data Destruction,risk,Inconsistent,0.1409,0.0919,0.2,0.1307,1,2
item,Account Enforcement,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Accuracy,risk,Inconsistent,0.1357,0.1544,0.0345,0.2181,2,2
item,Accuracy And Correctness,virtue,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Adult Activities Risk,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Adult Erotica,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Advanced Cyber Capabilities,risk,Inconsistent,0.1659,0.0919,0.2,0.2057,1,2
item,Adversarial Robustness,risk,Inconsistent,0.2722,0.1838,0.2444,0.3885,2,4
item,Adversarial Machine Learning,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Adversarial Multimodal Inputs,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Aesthetic Creativity,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Age Assurance Bypass,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Age-Inappropriate Content,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Agent Errors,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Agentic Abuse,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Agentic Coding Misuse,risk,Inconsistent,0.264,0.0919,0.2,0.5,1,2
item,Agentic Laziness,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Agentic Misalignment,risk,Inconsistent,0.1612,0.1544,0.0,0.3292,2,2
item,AI Risk Mitigation,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,AI Cyber Incidents,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,AI Model Training,virtue,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,AI R&D,risk,Inconsistent,0.1692,0.0919,0.2,0.2157,1,2
item,AI Safety Sabotage,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,AI Security Risks,risk,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,AI Self-Improvement,risk,Inconsistent,0.2368,0.1654,0.2,0.3449,1,7
item,AI Use Monitoring,virtue,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,AI-Generated Content Detection,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Alignment Behaviors,risk,Inconsistent,0.1423,0.1544,0.0711,0.2014,2,2
item,Alignment Effects,virtue,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Alignment Faking,risk,Inconsistent,0.2265,0.0919,0.2,0.3875,1,2
item,Alignment Tax,risk,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Alignment with Human Preferences,virtue,Inconsistent,0.2035,0.0772,0.2,0.3333,1,1
item,Alignment-Helpfulness Tradeoffs,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Allowed Functions Only,virtue,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Ambiguous Context Evaluations,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Annoying Models,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Anti-Discrimination Protections,virtue,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,API Access,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Appearance Critiques,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Appropriate Harmlessness,virtue,Inconsistent,0.264,0.0919,0.2,0.5,1,2
item,Artist Style Imitation,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,ASL-4 CBRN Risk,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Asymmetric Coverage,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,At-Scale Abuse,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Attack Planning,risk,Inconsistent,0.1942,0.1213,0.2,0.2614,1,4
item,Attack Scaling,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Attribution,virtue,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Automated Content Moderation,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Automated Processing Accuracy,virtue,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Autonomous Capabilities,risk,Inconsistent,0.2265,0.0919,0.2,0.3875,1,2
item,Autonomous Cyber Operations,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Autonomous Cyberattacks,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Autonomous R&D,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Autonomous Replication,risk,Inconsistent,0.2457,0.1838,0.2004,0.3528,2,4
item,Autonomous Self-Replication,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Autonomy Risks,risk,Inconsistent,0.3065,0.2279,0.2811,0.4105,2,7
item,Autonomy Evaluations,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Background Preferences,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Balanced Political Information,virtue,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Behavioral Audits,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Benchmark Compliance,virtue,Inconsistent,0.1434,0.0772,0.2,0.1529,1,1
item,Benefits Humanity,virtue,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Benign Prompt Refusals,risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
item,Benign Request Evaluations,risk,Inconsistent,0.2265,0.0919,0.2,0.3875,1,2
item,Bias,risk,Inconsistent,0.4096,0.625,0.0856,0.5182,6,17
item,Bias Amplification,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Bias and Fairness,risk,Inconsistent,0.2254,0.2721,0.065,0.3392,2,10
item,Bias And Representation,risk,Inconsistent,0.1267,0.0772,0.2,0.1028,1,1
item,Bias and Stereotyping,risk,Inconsistent,0.1816,0.1544,0.1098,0.2806,2,2
item,Bias Evaluation,risk,Inconsistent,0.1757,0.0772,0.2,0.25,1,1
item,Bias Perpetuation,risk,Inconsistent,0.1992,0.0919,0.2,0.3057,1,2
item,"Bias, Stereotypes, Or Ungrounded Information",risk,Inconsistent,0.2285,0.0772,0.2,0.4083,1,1
