unit,company,name,kind,risk_or_virtue_constancy,risk_or_virtue_constancy_score,risk_virtue_definition_similarity,risk_virtue_document_recurrence,risk_virtue_temporal_persistence,distinct_documents,years
item,Anthropic,Abusive Form Filling,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Abusive Users,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Accessibility,virtue,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Age Assurance Bypass,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Agentic Coding Misuse,risk,Variable,0.2516,0.208,0.5,0.5,2,2025 2026
item,Anthropic,Agentic Laziness,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Agentic Misalignment,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,AI Safety Sabotage,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,AI-Generated Content Detection,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Alignment Behaviors,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Alignment Faking,risk,Variable,0.1677,0.046,0.5,0.25,2,2025
item,Anthropic,Ambiguous Context Evaluations,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Annoying Models,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Anti-Discrimination Protections,virtue,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Appropriate Harmlessness,virtue,Variable,0.2076,0.0648,0.5,0.5,2,2023 2025
item,Anthropic,ASL-4 CBRN Risk,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Autonomous Capabilities,risk,Variable,0.1785,0.0811,0.5,0.25,2,2024
item,Anthropic,Autonomous Replication,risk,Variable,0.2362,0.1579,0.5,0.5,2,2023 2024
item,Anthropic,Autonomy Risks,risk,Constant,0.4904,0.201,1.0,0.25,4,2025
item,Anthropic,Autonomy Evaluations,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Balanced Political Information,virtue,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Behavioral Audits,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Benign Request Evaluations,risk,Variable,0.1536,0.0,0.5,0.25,2,2026
item,Anthropic,Bias,risk,Variable,0.3288,0.0428,0.75,0.5,3,2023 2025
item,Anthropic,Bias Evaluation,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Biological Risks,risk,Constant,0.4655,0.3954,0.75,0.5,3,2024 2025
item,Anthropic,Blackmail,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Catastrophic Risks,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Chain-of-Thought Faithfulness,virtue,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,CBRN,risk,Variable,0.2003,0.0411,0.5,0.5,2,2024 2025
item,Anthropic,CBRN Evaluations,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,CBRN Weapons,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,CBRN Weapons Development,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Child Safety,risk,Constant,0.7976,0.5502,1.0,1.0,8,2023 2024 2025 2026
item,Anthropic,Child Sexual Abuse,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,CSAM Prompt Optimization,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Code Sabotage,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Concerning Behavior,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Confabulation,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Copyright Infringement,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Correcting Users Honestly,virtue,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Critical Infrastructure Attacks,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Cyber Capabilities,risk,Variable,0.4246,0.8824,0.5,0.25,2,2025
item,Anthropic,Cyber Evaluations,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Cyber Ranges,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,CyberGym,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Cybersecurity,risk,Variable,0.4255,0.2923,0.75,0.5,3,2024 2025
item,Anthropic,Cyberweapon Creation,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Data Cleaning,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Data Filtering,virtue,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Deception by Omission,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Deception of Others,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Deceptive Reasoning,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Delusion Encouragement,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Difficult Violative Requests,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Direct Deception,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Discrimination,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,Discriminatory Bias,risk,Constant,0.4753,0.5319,0.75,0.25,3,2025
item,Anthropic,Dual-Use Benign Requests,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Dual-Use Potential,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Eating Disorders,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Epistemic Autonomy,virtue,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Erratic Behavior,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,Evaluation Awareness,risk,Variable,0.2377,0.2739,0.5,0.25,2,2025
item,Anthropic,Excessive Agency,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,External Comparisons,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,External Security Testing,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,External Testing,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Factual Accuracy,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Factual Errors,risk,Variable,0.1174,0.3,0.25,0.25,1,2023
item,Anthropic,False Positive Refusals,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,False Premises,risk,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Fraud,risk,Variable,0.1174,0.3,0.25,0.25,1,2024
item,Anthropic,Gender-Occupation Stereotypes,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
item,Anthropic,General Ethics,virtue,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Genuine Helpfulness,virtue,Variable,0.1174,0.3,0.25,0.25,1,2026
item,Anthropic,Gray-Area Requests,risk,Variable,0.1174,0.3,0.25,0.25,1,2025
